DateTime,Players,Flags,Twitch Viewers,pos_sent_count,neg_sent_count,neu_sent_count
2016-11-20,3587.0,,,,,
2016-11-21,2622.0,,,,,
2016-11-22,2009.0,,,,,
2016-11-23,2408.0,,,,,
2016-11-24,2356.0,,,,,
2016-11-25,2614.0,,,,,
2016-11-26,2913.0,,,,,
2016-11-27,3004.0,,,,,
2016-11-28,2168.0,,,,,
2016-11-29,2256.0,,,,,
2016-11-30,1990.0,,,,,
2016-12-01,1987.0,,,,,
2016-12-02,2117.0,,,,,
2016-12-03,2460.0,,,,,
2016-12-04,2835.0,,,,,
2016-12-05,1886.0,,,,,
2016-12-06,1967.0,,,,,
2016-12-07,1828.0,,,,,
2016-12-08,1813.0,,,,,
2016-12-09,2097.0,,,,,
2016-12-10,2347.0,,,,,
2016-12-11,2429.0,,,,,
2016-12-12,1791.0,,,,,
2016-12-13,2001.0,,,,,
2016-12-14,1659.0,,,,,
2016-12-15,2166.0,,,,,
2016-12-16,1965.0,,,,,
2016-12-17,2317.0,,,,,
2016-12-18,2550.0,,,,,
2016-12-19,1921.0,,,,,
2016-12-20,1963.0,,,,,
2016-12-21,1928.0,,,,,
2016-12-22,1860.0,,,,,
2016-12-23,2096.0,,,,,
2016-12-24,2001.0,,,,,
2016-12-25,2237.0,,,,,
2016-12-26,2781.0,,,,,
2016-12-27,2639.0,,,,,
2016-12-28,2753.0,,,,,
2016-12-29,2573.0,,,,,
2016-12-30,2738.0,,,,,
2016-12-31,2532.0,,,,,
2017-01-01,2604.0,,,,,
2017-01-02,2899.0,,,,,
2017-01-03,2365.0,,,,,
2017-01-04,2110.0,,,,,
2017-01-05,2194.0,,,,,
2017-01-06,1621.0,,,,,
2017-01-07,2601.0,,,,,
2017-01-08,2614.0,,,,,
2017-01-09,1879.0,,,,,
2017-01-10,1826.0,,,,,
2017-01-11,1589.0,,,,,
2017-01-12,1778.0,,,,,
2017-01-13,1931.0,,,,,
2017-01-14,2190.0,,,,,
2017-01-15,2304.0,,,,,
2017-01-16,1535.0,,,,,
2017-01-17,1648.0,,,,,
2017-01-18,1625.0,,,,,
2017-01-19,1623.0,,,,,
2017-01-20,1687.0,,,,,
2017-01-21,2036.0,,,,,
2017-01-22,2248.0,,,,,
2017-01-23,1521.0,,,,,
2017-01-24,1566.0,,,,,
2017-01-25,1392.0,,,,,
2017-01-26,1351.0,,,,,
2017-01-27,1704.0,,,,,
2017-01-28,1784.0,,,,,
2017-01-29,2142.0,,,,,
2017-01-30,1531.0,,,,,
2017-01-31,1433.0,,,,,
2017-02-01,1345.0,,,,,
2017-02-02,1354.0,,,,,
2017-02-03,1603.0,,,,,
2017-02-04,1942.0,,,,,
2017-02-05,2188.0,,,,,
2017-02-06,1586.0,,,,,
2017-02-07,1543.0,,,,,
2017-02-08,1494.0,,,,,
2017-02-09,1466.0,,,,,
2017-02-10,1509.0,,,,,
2017-02-11,1822.0,,,,,
2017-02-12,1927.0,,,,,
2017-02-13,1375.0,,,,,
2017-02-14,1231.0,,,,,
2017-02-15,1323.0,,,,,
2017-02-16,1342.0,,,,,
2017-02-17,1605.0,,,,,
2017-02-18,1830.0,,,,,
2017-02-19,1991.0,,,,,
2017-02-20,1529.0,,,,,
2017-02-21,1477.0,,,,,
2017-02-22,1395.0,,,,,
2017-02-23,1354.0,,,,,
2017-02-24,1313.0,,,,,
2017-02-25,1658.0,,,,,
2017-02-26,1893.0,,,,,
2017-02-27,1240.0,,,,,
2017-02-28,1345.0,,,,,
2017-03-01,1267.0,,,,,
2017-03-02,1223.0,,,,,
2017-03-03,1343.0,,,,,
2017-03-04,1694.0,,,,,
2017-03-05,1871.0,,,,,
2017-03-06,1383.0,,,,,
2017-03-07,1439.0,,,,,
2017-03-08,1295.0,,,,,
2017-03-09,1230.0,,,,,
2017-03-10,1378.0,,,,,
2017-03-11,1650.0,,,,,
2017-03-12,1821.0,,,,,
2017-03-13,1335.0,,,,,
2017-03-14,1386.0,,,,,
2017-03-15,1256.0,,,,,
2017-03-16,1635.0,,,,,
2017-03-17,1381.0,,,,,
2017-03-18,1735.0,,,,,
2017-03-19,3394.0,,,,,
2017-03-20,2320.0,,,,,
2017-03-21,1691.0,,,,,
2017-03-22,806.0,,,,,
2017-03-23,1677.0,,,,,
2017-03-24,1890.0,,,,,
2017-03-25,2170.0,,,,,
2017-03-26,2413.0,,,,,
2017-03-27,1588.0,,,,,
2017-03-28,1623.0,,,,,
2017-03-29,1494.0,,,,,
2017-03-30,1452.0,,,,,
2017-03-31,1594.0,,,,,
2017-04-01,2029.0,,,,,
2017-04-02,2149.0,,,,,
2017-04-03,1530.0,,,,,
2017-04-04,1521.0,,,,,
2017-04-05,2151.0,,,,,
2017-04-06,4639.0,,,,,
2017-04-07,8048.0,,,,,
2017-04-08,10064.0,,,,,
2017-04-09,9353.0,,,,,
2017-04-10,7157.0,,,,,
2017-04-11,3934.0,,,,,
2017-04-12,3541.0,,,,,
2017-04-13,3561.0,,,,,
2017-04-14,3662.0,,,,,
2017-04-15,3747.0,,,,,
2017-04-16,3594.0,,,,,
2017-04-17,2969.0,,,,,
2017-04-18,2555.0,,,,,
2017-04-19,2372.0,,,,,
2017-04-20,2594.0,,,,,
2017-04-21,2728.0,,,,,
2017-04-22,2963.0,,,,,
2017-04-23,2996.0,,,,,
2017-04-24,2222.0,,,,,
2017-04-25,2365.0,,,,,
2017-04-26,1898.0,,,,,
2017-04-27,1965.0,,,,,
2017-04-28,2212.0,,,,,
2017-04-29,2422.0,,,,,
2017-04-30,2727.0,,,,,
2017-05-01,2217.0,,,,,
2017-05-02,3446.0,,,,,
2017-05-03,3060.0,,,,,
2017-05-04,3078.0,,,,,
2017-05-05,3181.0,,,,,
2017-05-06,3539.0,,,,,
2017-05-07,3703.0,,,,,
2017-05-08,2941.0,,,,,
2017-05-09,2765.0,,,,,
2017-05-10,2533.0,,,,,
2017-05-11,2240.0,,,,,
2017-05-12,2452.0,,,,,
2017-05-13,2936.0,,,,,
2017-05-14,2973.0,,,,,
2017-05-15,2288.0,,,,,
2017-05-16,2283.0,,,,,
2017-05-17,2295.0,,,,,
2017-05-18,2308.0,,,,,
2017-05-19,2172.0,,,,,
2017-05-20,2505.0,,,,,
2017-05-21,2663.0,,,,,
2017-05-22,2099.0,,,,,
2017-05-23,2237.0,,,,,
2017-05-24,2090.0,,,,,
2017-05-25,2036.0,,,,,
2017-05-26,2154.0,,,,,
2017-05-27,2252.0,,,,,
2017-05-28,2738.0,,,,,
2017-05-29,2423.0,,,,,
2017-05-30,1995.0,,,,,
2017-05-31,2036.0,,,,,
2017-06-01,1922.0,,,,,
2017-06-02,2230.0,,,,,
2017-06-03,2441.0,,,,,
2017-06-04,2903.0,,,,,
2017-06-05,2647.0,,,,,
2017-06-06,2425.0,,,,,
2017-06-07,2132.0,,,,,
2017-06-08,2146.0,,,,,
2017-06-09,2295.0,,,,,
