DateTime,Players,neg_sent_count,neu_sent_count,pos_sent_count,Twitch_Viewers,pos_dist
1/12/2017,1778,3,1,6,0,0.6
1/13/2017,1931,2,5,7,0,0.5
1/14/2017,2190,3,2,6,0,0.545454545
1/15/2017,2304,2,1,4,0,0.571428571
1/16/2017,1535,1,4,5,0,0.5
1/17/2017,1648,0,4,3,0,0.428571429
1/18/2017,1625,2,2,2,0,0.333333333
1/19/2017,1623,0,4,2,0,0.333333333
1/20/2017,1687,1,2,4,0,0.571428571
1/21/2017,2036,2,1,3,0,0.5
1/22/2017,2248,1,0,5,0,0.833333333
1/23/2017,1521,2,0,1,0,0.333333333
1/24/2017,1566,0,0,8,0,1
1/25/2017,1392,1,2,5,0,0.625
1/26/2017,1351,2,1,4,0,0.571428571
1/27/2017,1704,5,1,3,0,0.333333333
1/28/2017,1784,0,0,3,0,1
1/29/2017,2142,1,1,4,0,0.666666667
1/30/2017,1531,2,3,5,0,0.5
1/31/2017,1433,0,0,2,0,1
2/1/2017,1345,2,0,6,0,0.75
2/2/2017,1354,1,0,4,0,0.8
2/3/2017,1603,0,1,0,0,0
2/4/2017,1942,1,1,3,0,0.6
2/5/2017,2188,0,1,7,0,0.875
2/6/2017,1586,2,1,5,0,0.625
2/7/2017,1543,0,0,2,0,1
2/8/2017,1494,0,2,3,0,0.6
2/9/2017,1466,1,0,1,0,0.5
2/10/2017,1509,3,2,4,0,0.444444444
2/11/2017,1822,0,0,7,0,1
2/12/2017,1927,1,2,2,0,0.4
2/13/2017,1375,2,2,2,0,0.333333333
2/14/2017,1231,0,0,2,0,1
2/15/2017,1323,3,1,3,0,0.428571429
2/16/2017,1342,4,2,2,0,0.25
2/17/2017,1605,4,1,4,0,0.444444444
2/18/2017,1830,1,1,6,0,0.75
2/19/2017,1991,3,1,5,0,0.555555556
2/20/2017,1529,1,1,4,0,0.666666667
2/21/2017,1477,1,0,3,0,0.75
2/22/2017,1395,3,1,3,0,0.428571429
2/23/2017,1354,0,0,6,0,1
2/24/2017,1313,2,0,3,0,0.6
2/25/2017,1658,1,0,1,0,0.5
2/26/2017,1893,2,0,3,0,0.6
2/27/2017,1240,0,3,3,0,0.5
2/28/2017,1345,0,1,4,0,0.8
3/1/2017,1267,2,1,7,0,0.7
3/2/2017,1223,2,2,4,0,0.5
3/3/2017,1343,0,1,2,0,0.666666667
3/4/2017,1694,2,1,4,0,0.571428571
3/5/2017,1871,1,3,3,0,0.428571429
3/6/2017,1383,1,3,2,0,0.333333333
3/7/2017,1439,8,1,2,0,0.181818182
3/8/2017,1295,2,2,4,0,0.5
3/9/2017,1230,1,1,4,0,0.666666667
3/10/2017,1378,1,1,2,0,0.5
3/11/2017,1650,0,0,6,0,1
3/12/2017,1821,3,1,0,0,0
3/13/2017,1335,2,1,0,0,0
3/14/2017,1386,2,1,4,0,0.571428571
3/15/2017,1256,1,1,3,0,0.6
3/16/2017,1635,1,0,1,0,0.5
3/17/2017,1381,1,1,2,0,0.5
